name,classification,health,attack_strength,drops,location,link,description
Iron Golem,Utility,120 (x 60)+,7 ()to21 (x 10.5),Iron Ingot(3-5)Poppy(0-2),VillagesPillager Outposts(Inside Cages)Built by a player,https://minecraft-archive.fandom.com/wiki/Iron_Golem,"Iron Golemis a tough, utilitymobthat are immune to drowning, fall damage, andknockback. They are built with fourblocks of ironand a carved pumpkin. Iron golems are considered one of the strongest mobs and one of the most dangerous in the game, as they will not be knocked back by any means. Before..."
Snow Golem,Utility,4 (),0 ()(Knocks mobs back)3 ()toBlazes,Snowball(0-15),Player's choice,https://minecraft-archive.fandom.com/wiki/Snow_Golem,"Snow Golems, also known asSnowmen, are a unique type of passivemobthat is created by aplayer. As they walk, they leavesnowtrails in their wake. In cold and coolbiomes, it will happen at any elevation; in warm biomes, it will typically only occur above sea level. It is also fair to note that snow ..."
Wither,Utility,300 (x 150)[JE]600 (x 300)[BE],Easy:5 ()Normal:8 ()+ Wither DebuffHard:12 (x 6)+ Wither Debuff,Nether Star(1),Anywhere it is created,https://minecraft-archive.fandom.com/wiki/The_Wither,"TheWitheris a floating three-headed, demonic bossmobwith a skeletal appearance. Its parts (soul sand and wither skulls) originate fromthe Netherand is the secondboss mobintroduced and added to the game after theEnder Dragonin1.4.2 the Pretty Scary Update. It can only be encountered and battled by..."
Chicken,Passive,4 (),None,On DeathFeather(0-2)Raw ChickenOn FireCooked ChickenNaturalEgg,Grass blocks with a (Minimum) 2x1x1 space above them.,https://minecraft-archive.fandom.com/wiki/Chicken,Chickensare passive animalmobsthat live throughout theOverworld.
Cow,Passive,10 (),None,On deathRaw Beef(1-3)Leather(0-2)On fireSteak(1-3),Blocks 1×1×2 space on Grass,https://minecraft-archive.fandom.com/wiki/Cow,"Cowsare  passivemobsinMinecraft. They provideleather,beef, andmilk."
Mooshroom,Passive,10 (),,Raw BeefMushrooms(x5 when sheared)LeatherMilk(If milked with aBucketwhile alive.)Mushroom Stew(If milked with aBowlwhile alive.)Suspicious Stew(if brown mooshroom is milked withBowlafter fed aFlower),Mushroom Island Biomes,https://minecraft-archive.fandom.com/wiki/Mooshroom,Amooshroomis apassivemobthat is a hybrid cross between acowand amushroom.
Brown Mooshroom,Passive,10 (),,Raw BeefBrown MushroomLeatherMilk(If milked with a bucket while alive.)Mushroom Stew(If milked with a Bowl while alive.)Suspicious Stew(If fed aFlowerand then milked with a Bowl while alive.),- When a mooshroom is struck by lightning- 1/1024 chance to spawn instead of a red mooshroom,https://minecraft-archive.fandom.com/wiki/Brown_Mooshroom,This article is a stub. You can help the Minecraft Wiki byexpandingthis article.
Pig,Passive,10 (),None,On deathRaw Porkchop(1-3)On fireCooked Porkchop(1-3)Saddle(if it is wearing one when killed),"Light level >9, ongrassBlocks in the Overworld with at least 2 blocks gap above them",https://minecraft-archive.fandom.com/wiki/Pig,"Pigsare passive, animalmobsthat spawn in grassy areas of theOverworld."
Sheep,Passive,8 (),None,Wool(1) if killed and not sheared. (Varies color)Wool(1-3) if player usesShearsWool(4) if the player punches 7 times and shear itRaw Mutton(1-2)Cooked Mutton(if the sheep dies while on fire.) (1-2),"Overworld(where light level >9, onGrass)",https://minecraft-archive.fandom.com/wiki/Sheep,"Sheepare one of the most plentiful and usefulmobsencountered inMinecraft. They can often be found wandering throughout theOverworld. The main purpose of sheep is to supplyWoolandRaw Mutton(orCooked Mutton, if killed while on fire)."
Squid,Passive,10 (),,Ink Sac(1-3),"Any depth of water, any light level.",https://minecraft-archive.fandom.com/wiki/Squid,"Squidare eight-limbed,passiveaquaticmobsthat can be found inWaterin any depth of allBiomes, spawning on anyDifficulty. Squids were the first water-dwelling mob to appear inMinecraft, the others being theGuardian,Elder Guardian, all the different types offish,Dolphins, andTurtles."
Villager,Passive,20 (x 10),Set firework:5()–6(),None,InNPC Villagesand inIgloobasements.,https://minecraft-archive.fandom.com/wiki/Villager,"Villagersare humanoid passivemobsthat spawn invillagesandigloobasements. They have different variants in the game. Their texture will change depending on their profession and thebiomethe village is located in. There are currently 5 types of villages:plains,savanna,desert,snowy tundra, andtaigavil..."
Wandering trader,Passive,20 (x 10),,"leads, potion of invisibility and a milk bucket",Spawns randomly in variousBiomes,https://minecraft-archive.fandom.com/wiki/Wandering_trader,Awandering traderis apassivevillager-likemobthat can be found throughout theOverworld.
Bat,Passive,6 (),None,None,"Below y=63, at alightlevel of 4 or less (7 or less if the current day is between Oct. 20 and Nov. 3)",https://minecraft-archive.fandom.com/wiki/Bat,Batsare passive mobs that spawn naturally incavesor other large enclosed spaces.
Ocelot,Passive,10 (),,None,Jungle,https://minecraft-archive.fandom.com/wiki/Ocelot,Anocelotis a passive animalmobthat will only spawn naturally injunglebiomes.
Cat,Passive,10 (),,0-2String,Villages and Witch Huts,https://minecraft-archive.fandom.com/wiki/Cat,"Catsare passive, tameable mobs often found wandering invillages. A single black cat can also be found at awitch hut. They are not to be confused withocelots."
Horse,Passive,30 (x 15),,"0-2Leather, aSaddle(if it is wearing one),Horse Armor(if it is wearing some)",The Overworld (Plains&Savanna),https://minecraft-archive.fandom.com/wiki/Horse,Ahorseis amobthat usuallyspawnsin groups withinplainsandsavannabiomes. They come in different hues.
Donkey,Passive,30 (x 15),,0-2LeatherSaddle(If Equipped)Chest(If Equipped),The Overworld (Plains&Savanna),https://minecraft-archive.fandom.com/wiki/Donkey,"Donkeysare passivemobsthat can be ridden. InUpdate 1.6, donkeys can be spawned with ahorsespawn egg, and they are tamable. Insurvival mode, they can be found naturally in the plains biomes, along with their horse counterparts. They are one of  six different possible mounts in the game, the other ..."
Mule,Passive,30 (x 15),None,0-2Leather,N/A(Only spawn with breeding),https://minecraft-archive.fandom.com/wiki/Mule,"Mulesare passivemobsthat were introduced toMinecraftin Update1.6. Insurvival mode, they cannot be found naturally. They can only be obtained through thebreedingof ahorseand adonkey."
Skeleton Horse,Passive,30 (x 15),,"0-2Leather, aSaddle(if it is wearing one),Horse Armor(if it is wearing some)",The Overworld (Plains&Savanna),https://minecraft-archive.fandom.com/wiki/Skeleton_Horse,Ahorseis amobthat usuallyspawnsin groups withinplainsandsavannabiomes. They come in different hues.
Strider,Passive,20 (x 10),,0–5String;Saddle(If wearing one),Lavalakes in the Nether,https://minecraft-archive.fandom.com/wiki/Strider,Baby Stridera baby strider.Health Points20 (x 10)BehaviorSurviveslavaand is apassive mob.LocationLavalakes in the Nether/breeding adult striders.First Appearance1.16 - Nether Update(Snapshot20w13a)Network IDTBAExperience Points1–3Technical Nameminecraft:Strider
Fox,Passive,10 ()JE20 (x 10)BE,2 (),Any item it was holding in its mouth,"Taiga,Snowy Taiga",https://minecraft-archive.fandom.com/wiki/Fox,"Foxes can onlyspawnnaturally in taiga andsnowy taigabiomes, in groups of 1-3, most commonly at night. They may spawn in either adult or baby form. In the taiga, their coat is orange (resembling ared fox), whereas, in a snowy taiga, they are white (resembling anarctic fox). A fox may spawn in avil..."
Rabbit,Passive,3 (),Normal Rabbit:0 ()Killer Bunny:Easy: 5 HP ()Normal: 8 HP ()Hard: 12 HP (x 6),"Raw Rabbit,Rabbit Hide,Rabbit's Foot,Cooked Rabbit(if on fire)",Grass blocks with a minimum of a 2x1x1 space above them.,https://minecraft-archive.fandom.com/wiki/Rabbit,"Arabbitis a small, passive animalmobwhich can be found in groups of 2-4 in almost anybiome."
Parrot,Passive,6 (),None,1-2Feathers,Jungle,https://minecraft-archive.fandom.com/wiki/Parrot,"Parrotsare apassive, flying andtamablemobthat spawn injunglebiomes."
Turtle,Passive,30,,Seagrass(0-2)Scute(when a baby grows into an adult)Bowl(if killed by lightning),Beaches,https://minecraft-archive.fandom.com/wiki/Turtle,Asea turtleis apassiveunderwatermobthat can spawn inoceanbiomes.
Cod,Passive,3,None,Cod:Raw Cod(Cooked Cod if killed by fire)BoneTropical Fish:ClownfishBoneSalmon:Raw SalmonCooked Salmon(if killed by fire)Bone,"Cod:Normal, cold, and lukewarm oceans (including the deep variants of the oceans).Tropical Fish:Lukewarm, warm, and deep lukewarm oceans.Salmon:Cold oceans, frozen oceans, deep cold oceans, deep frozen oceans, normal rivers, and frozen rivers.",https://minecraft-archive.fandom.com/wiki/Fish_(Mob),"Fish(not to be confused with theitemsalready available in-game) aremobsthat were planned to be added toMinecraftin the 1.4.0 version. However, they were eventually added as part of1.13 - The Update Aquaticinstead, with many color and shape variants."
Salmon,Passive,3,None,Cod:Raw Cod(Cooked Cod if killed by fire)BoneTropical Fish:ClownfishBoneSalmon:Raw SalmonCooked Salmon(if killed by fire)Bone,"Cod:Normal, cold, and lukewarm oceans (including the deep variants of the oceans).Tropical Fish:Lukewarm, warm, and deep lukewarm oceans.Salmon:Cold oceans, frozen oceans, deep cold oceans, deep frozen oceans, normal rivers, and frozen rivers.",https://minecraft-archive.fandom.com/wiki/Fish_(Mob),"Fish(not to be confused with theitemsalready available in-game) aremobsthat were planned to be added toMinecraftin the 1.4.0 version. However, they were eventually added as part of1.13 - The Update Aquaticinstead, with many color and shape variants."
Pufferfish,Passive,3 (),Easy:2 ()Normal:3 ()Hard:4 (),PufferfishBone,"Warm, lukewarm, and deep lukewarm oceans",https://minecraft-archive.fandom.com/wiki/Pufferfish_(Mob),Pufferfishare uncommon defensivemobsfound in oceans.
Tropical fish,Passive,,,,,https://minecraft-archive.fandom.com/wiki/Tropical_fish,This article is a stub. You can help the Minecraft Wiki byexpandingthis article.
Enderman,Neutral,40 (x 20),Easy:4 ()Normal:7 ()Hard:10 (),0?-2Ender PearlAblock(if holding one)      (0?-4Ender Pearlif looting),"All Dimensions (Overworld,NetherandThe End) (light level 7 or less, in The End: light level 11 or less)Warped ForestNether WastesSoul Sand Valley(sometimes, not as frequent as in the warped forest)",https://minecraft-archive.fandom.com/wiki/Enderman,"AnEndermanis a neutralmobwith unique teleportation abilities, who will only attackplayerswho look at its eyes or attacked them first. Endermen have long legs and arms, purple eyes, and sometimes it picks up individualblocksand moves them elsewhere. It also emits purple-like particles."
Piglin,Neutral,16 (x 8),Ranged3 ()–6 ()MeleeEasy:2 ()–5 ()Normal:3 ()–8 ()Hard:5 ()–12 (x 6),Holding a Gold Sword:Gold SwordBartering:Gold IngotHolding a Crossbow:Crossbow,"Crimson Forest,Nether Wastes,Bastion Remnants.",https://minecraft-archive.fandom.com/wiki/Piglin,"Baby PiglinWith NothingBarteringRiding a Baby HoglinMultiple riding a Baby HoglinWith a SwordWith a CrossbowZombifiedHealth Points16 (x 8)BehaviorPassiveArmor PointsnoneDropsThings in its inventoryLocationCrimson Forest, andNether Wastes.First Appearance1.16 - Nether Update(20w07a)Technical Namem..."
Zombified Piglin,Neutral,20 (x 10),Easy:5 ()Normal:8 ()Hard:12 (x 6),Rotten Flesh(0-1)Gold Nugget(0-1)Gold Sword(8.5–11.5% chance)Gold Ingot(2.5–5.5% chance)A chance to drop golden armor (if equipping),"Any light level in theNether Wastes/Crimson Forest, or when apiglinis in the overworld for 15 seconds.",https://minecraft-archive.fandom.com/wiki/Zombified_Piglin,"Zombified Piglin(previously known asZombie Pigmanand known as ""Ziglins"" for short) is a variation of the sword-wielding variant of aZombie, (hence the name) who are neutral and are fromThe Nether. They drop 0-1 pieces ofrotten fleshupon death as well as 0-1gold nuggets. They occasionally drop ago..."
Dolphin,Neutral,10 (),Easy:2 ()Normal:3 ()Hard:4 (),0-1Raw Cod,Alloceanbiomes (except frozen),https://minecraft-archive.fandom.com/wiki/Dolphin,Adolphinis aneutralaquatic animalmobthat can be found inocean biomes.
Bee,Neutral,10 (),1 (),None,"Nearbee nests, in plains and flower forests",https://minecraft-archive.fandom.com/wiki/Bee,This article is a stub. You can help the Minecraft Wiki byexpandingthis article.
Wolf,Neutral,8 (),2 (),Nothing,"Forests, Tundra and TaigaBiomes",https://minecraft-archive.fandom.com/wiki/Wolf,"Wolvesare the deuteragonists inMinecraft. They are a type of neutral tameable animalmobthat can spawn in theforest,ice plains, andtaigabiomes, often nearmountain biomes."
Spider,Neutral,10 (),Easy:2 ()Normal:2 ()Hard:3 (),"0–2String, 0–1Spider Eye(when killed by a player)","Light level that is less than 7, on solids.",https://minecraft-archive.fandom.com/wiki/Spider,Spidersare neutral mobs which can spawn in clusters of 1–4. They can be ridden byWither Skeletonsand/orSkeletons.
Cave Spider,Neutral,12 (x 6),"Easy:1 ()Normal:2 ()(Poisonous)Hard:3 ()(Poisonous)Poison:1 ()(Approximately once every 1.5 seconds, duration about 5 seconds)","String,Spider Eye","Abandoned Mine Shafts, Caves",https://minecraft-archive.fandom.com/wiki/Cave_Spider,"Cave spidersareneutralmobsintroduced after the release of:Beta1.8, in theJava Edition; TU5/CU1/1.0/Patch 1, in theconsole versions, and 0.11.0 in thePocket Edition. They are only found incavesandabandoned mineshafts. Cave spiders are smaller than regularspidersand are re-textured to a dark blue. ..."
Polar Bear,Neutral,30 (x 15),Easy:3 ()Normal:5 ()Hard:10 (),Salmon(0-2)Raw Cod(0-2),"Cold Biomes, i.e. Tundra, Ice Spikes, etc.",https://minecraft-archive.fandom.com/wiki/Polar_Bear,Apolar bearis aneutralmobfound inice plainsandice plains spikesbiomes.
Llama,Neutral,30 (x 15),1 (),Leather(0–2),Extreme HillsandSavannabiomes,https://minecraft-archive.fandom.com/wiki/Llama,"Trader LlamaHealth Points60 (x 30)Attack Strength1 ()DropsLeather(0–2)LocationAnywhere in groups of two, accompanied by aWandering TraderFirst Appearance1.14Experience Points1–3Technical Nameminecraft:trader_llama"
Trader Llama,Neutral,30 (x 15),1 (),Leather(0–2),Extreme HillsandSavannabiomes,https://minecraft-archive.fandom.com/wiki/Trader_Llama,"Trader LlamaHealth Points60 (x 30)Attack Strength1 ()DropsLeather(0–2)LocationAnywhere in groups of two, accompanied by aWandering TraderFirst Appearance1.14Experience Points1–3Technical Nameminecraft:trader_llama"
Panda,Neutral,20 (x 10)10 ()(Weak Pandas only),,1Bamboo(Java Edition) only) 0-2Bamboo(Bedrock Edition) only,JunglesBamboo JunglesSpidery Forests,https://minecraft-archive.fandom.com/wiki/Panda,"Pandasare somewhat passivemobsfound inbamboo jungle biomesas well asspidery forests, whose behavior is normallypassive, but can sometimes beneutral."
Blaze,Hostile,20 (x 10),FireballEasy:3Normal:5Hard:7ContactEasy:4Normal:6Hard:9,Blaze Rod(0-1),Nether Fortress,https://minecraft-archive.fandom.com/wiki/Blaze,"TheBlazeis an uncommonmobwith yellow-colored skin and black eyes. They first appeared in the Beta 1.9 Pre-release 1 version. These are hostile mobs who are located withinthe Nether. When a player is spotted, they will set themselves onfire, which does not damage them, and they will then shoot a 3..."
